year,cause,severity,total
2020,Over Loading,Minor,13 
2019,Over Loading,Fatal,10 
2019,Over Loading,Serious,18 
2019,Over Loading,Minor,9 
2018,Over Loading,Fatal ,17 
2018,Over Loading,Serious,28 
2018,Over Loading,Minor ,58 
2017,Over Loading,Fatal,30 
2017,Over Loading,Serious,70 
2017,Over Loading,Minor,61 
2016,Over Loading,Fatal,5 
2016,Over Loading,Serious,15 
2016,Over Loading,Minor,10 
2015,Over Loading,Fatal,9 
2015,Over Loading,Serious,29 
2015,Over Loading,Minor,20 
2014,Over Loading,Fatal,10 
2014,Over Loading,Serious,17 
2014,Over Loading,Minor,58 
2013,Over Loading,Fatal,5 
2013,Over Loading,Serious,38 
2013,Over Loading,Minor ,35 
2012,Over Loading,Fatal,5 
2012,Over Loading,Serious,13 
2012,Over Loading,Minor,11 
2020,Dangerous Loading,Fatal,12 
2020,Dangerous Loading,Serious,25 
2020,Dangerous Loading,Minor,4 
2019,Dangerous Loading,Fatal,18 
2019,Dangerous Loading,Serious,19 
2019,Dangerous Loading,Minor,13 
2018,Dangerous Loading,Fatal ,10 
2018,Dangerous Loading,Serious,29 
2018,Dangerous Loading,Minor ,13 
2017,Dangerous Loading,Fatal,31 
2017,Dangerous Loading,Serious,68 
2017,Dangerous Loading,Minor,63 
2016,Dangerous Loading,Fatal,6 
2016,Dangerous Loading,Serious,35 
2016,Dangerous Loading,Minor,15 
2015,Dangerous Loading,Fatal,16 
2015,Dangerous Loading,Serious,59 
2015,Dangerous Loading,Minor,42 
2014,Dangerous Loading,Fatal,13 
2014,Dangerous Loading,Serious,43 
2014,Dangerous Loading,Minor,38 
2013,Dangerous Loading,Fatal,7 
2013,Dangerous Loading,Serious,39 
2013,Dangerous Loading,Minor ,47 
2012,Dangerous Loading,Fatal,9 
2012,Dangerous Loading,Serious,20 
2012,Dangerous Loading,Minor,53 
2020,Dazzled by Lights,Fatal,4 
2020,Dazzled by Lights,Serious,9 
2020,Dazzled by Lights,Minor,0 
2019,Dazzled by Lights,Fatal,15 
2019,Dazzled by Lights,Serious,14 
2019,Dazzled by Lights,Minor,9 
2018,Dazzled by Lights,Fatal ,5 
2018,Dazzled by Lights,Serious,7 
2018,Dazzled by Lights,Minor ,11 
2017,Dazzled by Lights,Fatal,26 
2017,Dazzled by Lights,Serious,58 
2017,Dazzled by Lights,Minor,66 
2016,Dazzled by Lights,Fatal,21 
2016,Dazzled by Lights,Serious,18 
2016,Dazzled by Lights,Minor,10 
2015,Dazzled by Lights,Fatal,11 
2015,Dazzled by Lights,Serious,22 
2015,Dazzled by Lights,Minor,11 
2014,Dazzled by Lights,Fatal,3 
2014,Dazzled by Lights,Serious,14 
2014,Dazzled by Lights,Minor,11 
2013,Dazzled by Lights,Fatal,9 
2013,Dazzled by Lights,Serious,10 
2013,Dazzled by Lights,Minor ,6 
2012,Dazzled by Lights,Fatal,8 
2012,Dazzled by Lights,Serious,19 
2012,Dazzled by Lights,Minor,19 
2020,Obstacle on Carriage Way,Fatal,0 
2020,Obstacle on Carriage Way,Serious,6 
